,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
3,SoulCalibur,DC,98.0,8.4,1999,Fighting,Namco  ,Namco  ,9.6,0.0,0.0,0.5830951894845301,0.0,0.5830951894845301
20,NFL 2K1,DC,97.0,6.2,2000,Sports,Sega  ,Visual Concepts  ,9.6,1.0099504938362078,0.22360679774997896,0.0,0.1414213562373095,1.044030650891055
28,The Orange Box,PC,96.0,9.3,2007,Shooter,Electronic Arts  ,Valve Software  ,9.7,0.0,0.33166247903553997,0.0,0.1414213562373095,0.37416573867739417
36,BioShock,PC,96.0,8.6,2007,Shooter,2K Games  ,2K Australia / 2K Boston  ,9.6,0.1,0.6244997998398398,0.0,0.1,0.6403124237432849
50,Tony Hawk's Pro Skater 2,GBA,95.0,6.9,2001,Sports,Activision  ,Vicarious Visions  ,8.9,0.9219544457292888,0.5567764362830022,0.0,0.1414213562373095,1.0862780491200215
53,Portal 2,PC,95.0,9.1,2011,Shooter,Valve  ,Valve Software  ,9.7,0.5744562646538028,0.5744562646538028,0.0,0.31622776601683794,0.8660254037844386
56,Metal Gear Solid V: The Phantom Pain,XOne,95.0,7.5,2015,Action,Konami Digital Entertainment  ,Kojima Productions  ,,0.7,0.5,0.1414213562373095,0.2645751311064591,0.9110433579144299
67,Mass Effect 2,PC,94.0,8.9,2010,Role-Playing,Electronic Arts  ,BioWare Corp.  ,9.6,0.1,0.565685424949238,0.0,0.22360679774997896,0.6244997998398398
73,Grand Theft Auto: Vice City,PC,94.0,8.8,2003,Action,Rockstar Games  ,Rockstar North  ,9.0,0.0,0.17320508075688773,0.0,0.0,0.2
80,BioShock Infinite,PC,94.0,8.6,2013,Shooter,2K Games  ,Irrational Games  ,,0.5477225575051661,0.5567764362830022,0.0,0.22360679774997896,0.812403840463596
82,Ninja Gaiden Black,XB,94.0,8.8,2005,Action,Tecmo  ,Team Ninja  ,9.5,0.2645751311064591,0.1414213562373095,0.0,0.0,0.3
83,The Elder Scrolls IV: Oblivion,PC,94.0,8.2,2009,Role-Playing,Take-Two Interactive  ,Bethesda Softworks  ,9.2,0.1,0.458257569495584,0.0,0.2,0.5
91,Metal Gear Solid 3: Subsistence,PS2,94.0,9.1,2006,Action,Konami  ,Kojima Productions  ,9.4,0.5830951894845301,0.1,0.3872983346207417,0.2449489742783178,0.7416198487095663
97,Sid Meier's Civilization IV,PC,94.0,8.2,2005,Strategy,2K Games  ,Firaxis Games  ,9.4,0.1414213562373095,0.34641016151377546,0.0,0.1414213562373095,0.4
100,The Witcher 3: Wild Hunt,PC,93.0,9.4,2015,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,0.5385164807134504,0.7416198487095663,0.0,0.2645751311064591,0.9539392014169457
103,Company of Heroes,PC,93.0,8.7,2006,Strategy,THQ  ,Relic  ,9.4,0.0,0.2,0.0,0.0,0.2
107,Street Fighter Alpha 3,PS,93.0,8.6,1999,Fighting,Capcom  ,Capcom  ,8.4,0.6164414002968976,0.34641016151377546,0.714142842854285,0.1414213562373095,1.014889156509222
109,Tony Hawk's Pro Skater 3,XB,93.0,7.7,2002,Sports,Activision  ,Neversoft Entertainment  ,,0.5830951894845301,0.4242640687119285,0.0,0.1414213562373095,0.7416198487095663
111,Unreal Tournament 2004,PC,93.0,8.8,2004,Shooter,Atari  ,Epic Games  ,9.4,0.0,0.1414213562373095,0.0,0.0,0.1414213562373095
119,Undertale,NS,93.0,8.2,2018,Role-Playing,4-Aug,Toby Fox  ,9.0,0.0,0.0,0.1414213562373095,0.0,0.1414213562373095
125,Grand Theft Auto III,PC,93.0,8.2,2002,Action,Rockstar Games  ,DMA Design  ,9.1,0.0,0.1,0.0,0.0,0.1
127,Homeworld,PC,93.0,8.8,1999,Strategy,Sierra Entertainment  ,Relic  ,9.1,0.0,0.1414213562373095,0.0,0.0,0.1414213562373095
128,Okami,PS2,93.0,9.1,2006,Adventure,Capcom  ,Clover Studio  ,9.4,0.33166247903553997,0.17320508075688773,0.3872983346207417,0.5830951894845301,0.7937253933193772
136,Skies of Arcadia,DC,93.0,8.9,2000,Role-Playing,Sega  ,Overworks  ,9.2,0.0,0.0,0.3,0.0,0.3
138,Rock Band 3,X360,93.0,8.0,2010,Misc,MTV Games  ,Harmonix Music Systems  ,9.4,0.8544003745317531,0.3,0.0,0.2449489742783178,0.938083151964686
143,Star Wars: Knights of the Old Republic,PC,93.0,9.0,2003,Role-Playing,LucasArts  ,BioWare Corp.  ,,0.1,0.33166247903553997,0.0,0.1414213562373095,0.37416573867739417
144,Virtua Fighter 4: Evolution,PS2,93.0,8.7,2003,Fighting,Sega  ,Sega-AM2  ,8.9,0.5916079783099616,0.5196152422706632,0.0,0.3,0.8426149773176358
152,Grand Theft Auto: San Andreas,PC,93.0,8.9,2005,Action,Rockstar Games  ,Rockstar North  ,9.4,0.0,0.9643650760992956,0.0,0.2,0.9848857801796105
157,Prince of Persia: The Sands of Time,XB,92.0,8.0,2003,Adventure,Ubisoft  ,Ubisoft Montreal  ,9.0,0.7549834435270749,0.5744562646538028,0.0,0.2,0.9695359714832658
158,Call of Duty 4: Modern Warfare,PC,92.0,8.5,2007,Shooter,Activision  ,Infinity Ward  ,9.3,0.0,1.0583005244258363,0.0,0.17320508075688773,1.0723805294763609
169,Warcraft III: Reign of Chaos,PC,92.0,9.2,2002,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,9.3,0.17320508075688773,0.31622776601683794,0.0,0.1,0.37416573867739417
170,The Sims,PC,92.0,7.9,2000,Simulation,Maxis  ,Maxis  ,8.9,0.1,0.17320508075688773,0.0,0.0,0.22360679774997896
174,Rock Band 2,Wii,92.0,7.2,2008,Misc,MTV Games  ,Harmonix Music Systems  ,9.0,0.9643650760992956,0.1,0.0,0.282842712474619,1.0099504938362078
175,Forza Motorsport,XB,92.0,7.6,2005,Racing,Microsoft Game Studios  ,Turn 10 Studios  ,9.2,0.7211102550927979,0.714142842854285,0.0,0.1414213562373095,1.02469507659596
176,Madden NFL 2004,XB,92.0,7.6,2003,Sports,EA Sports  ,EA Tiburon  ,,1.0099504938362078,0.1414213562373095,0.0,0.22360679774997896,1.044030650891055
179,Advance Wars,GBA,92.0,8.9,2001,Strategy,Nintendo  ,Intelligent Systems  ,9.4,0.7071067811865476,0.43588989435406733,0.0,0.1,0.8366600265340756
180,Vagrant Story,PS,92.0,9.0,2000,Role-Playing,Square EA  ,SquareSoft  ,9.3,0.5477225575051661,0.4472135954999579,0.5477225575051661,0.2449489742783178,0.9327379053088815
