fill,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,Global_Sales
0,SoulCalibur,DC,98.0,8.4,1999,Fighting,Namco  ,Namco  ,9.6,340000.0
1,NFL 2K1,DC,97.0,6.2,2000,Sports,Sega  ,Visual Concepts  ,9.6,1090000.0
2,The Orange Box,PC,96.0,9.3,2007,Shooter,Electronic Arts  ,Valve Software  ,9.7,140000.0
3,BioShock,PC,96.0,8.6,2007,Shooter,2K Games  ,2K Australia / 2K Boston  ,9.6,410000.0
4,Tony Hawk's Pro Skater 2,GBA,95.0,6.9,2001,Sports,Activision  ,Vicarious Visions  ,8.9,1180000.0
5,Portal 2,PC,95.0,9.1,2011,Shooter,Valve  ,Valve Software  ,9.7,750000.0
6,Metal Gear Solid V: The Phantom Pain,XOne,95.0,7.5,2015,Action,Konami Digital Entertainment  ,Kojima Productions  ,,830000.0
7,Mass Effect 2,PC,94.0,8.9,2010,Role-Playing,Electronic Arts  ,BioWare Corp.  ,9.6,390000.0
8,Grand Theft Auto: Vice City,PC,94.0,8.8,2003,Action,Rockstar Games  ,Rockstar North  ,9.0,40000.0
9,BioShock Infinite,PC,94.0,8.6,2013,Shooter,2K Games  ,Irrational Games  ,,660000.0
10,Ninja Gaiden Black,XB,94.0,8.8,2005,Action,Tecmo  ,Team Ninja  ,9.5,90000.0
11,The Elder Scrolls IV: Oblivion,PC,94.0,8.2,2009,Role-Playing,Take-Two Interactive  ,Bethesda Softworks  ,9.2,250000.0
12,Metal Gear Solid 3: Subsistence,PS2,94.0,9.1,2006,Action,Konami  ,Kojima Productions  ,9.4,550000.0
13,Sid Meier's Civilization IV,PC,94.0,8.2,2005,Strategy,2K Games  ,Firaxis Games  ,9.4,160000.0
14,The Witcher 3: Wild Hunt,PC,93.0,9.4,2015,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,910000.0
15,Company of Heroes,PC,93.0,8.7,2006,Strategy,THQ  ,Relic  ,9.4,40000.0
16,Street Fighter Alpha 3,PS,93.0,8.6,1999,Fighting,Capcom  ,Capcom  ,8.4,1030000.0
17,Tony Hawk's Pro Skater 3,XB,93.0,7.7,2002,Sports,Activision  ,Neversoft Entertainment  ,,550000.0
18,Unreal Tournament 2004,PC,93.0,8.8,2004,Shooter,Atari  ,Epic Games  ,9.4,20000.0
19,Undertale,NS,93.0,8.2,2018,Role-Playing,4-Aug,Toby Fox  ,9.0,20000.0
20,Grand Theft Auto III,PC,93.0,8.2,2002,Action,Rockstar Games  ,DMA Design  ,9.1,10000.0
21,Homeworld,PC,93.0,8.8,1999,Strategy,Sierra Entertainment  ,Relic  ,9.1,20000.0
22,Okami,PS2,93.0,9.1,2006,Adventure,Capcom  ,Clover Studio  ,9.4,630000.0
23,Skies of Arcadia,DC,93.0,8.9,2000,Role-Playing,Sega  ,Overworks  ,9.2,90000.0
24,Rock Band 3,X360,93.0,8.0,2010,Misc,MTV Games  ,Harmonix Music Systems  ,9.4,880000.0
25,Star Wars: Knights of the Old Republic,PC,93.0,9.0,2003,Role-Playing,LucasArts  ,BioWare Corp.  ,,140000.0
26,Virtua Fighter 4: Evolution,PS2,93.0,8.7,2003,Fighting,Sega  ,Sega-AM2  ,8.9,710000.0
27,Grand Theft Auto: San Andreas,PC,93.0,8.9,2005,Action,Rockstar Games  ,Rockstar North  ,9.4,970000.0
28,Prince of Persia: The Sands of Time,XB,92.0,8.0,2003,Adventure,Ubisoft  ,Ubisoft Montreal  ,9.0,940000.0
29,Call of Duty 4: Modern Warfare,PC,92.0,8.5,2007,Shooter,Activision  ,Infinity Ward  ,9.3,1150000.0
30,Warcraft III: Reign of Chaos,PC,92.0,9.2,2002,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,9.3,140000.0
31,The Sims,PC,92.0,7.9,2000,Simulation,Maxis  ,Maxis  ,8.9,50000.0
32,Rock Band 2,Wii,92.0,7.2,2008,Misc,MTV Games  ,Harmonix Music Systems  ,9.0,1020000.0
33,Forza Motorsport,XB,92.0,7.6,2005,Racing,Microsoft Game Studios  ,Turn 10 Studios  ,9.2,1050000.0
34,Madden NFL 2004,XB,92.0,7.6,2003,Sports,EA Sports  ,EA Tiburon  ,,1090000.0
35,Advance Wars,GBA,92.0,8.9,2001,Strategy,Nintendo  ,Intelligent Systems  ,9.4,700000.0
36,Vagrant Story,PS,92.0,9.0,2000,Role-Playing,Square EA  ,SquareSoft  ,9.3,870000.0
