iter	RMSE
0	283590.6934
1	283529.7859
2	283466.3545
3	283404.1135
4	283343.8028
5	283278.177
6	283218.0796
7	283156.9012
8	283092.88
9	283030.3177
10	282968.6798
11	282904.415
12	282840.5774
13	282776.9384
14	282712.251
15	282647.7
16	282585.6244
17	282521.1106
18	282459.4231
19	282399.6922
20	282339.2342
21	282278.3792
22	282211.8351
23	282148.1105
24	282089.2658
25	282032.2019
26	281973.0873
27	281912.4882
28	281849.9699
29	281789.3535
30	281727.5786
31	281668.5567
32	281609.7688
33	281551.8273
34	281489.911
35	281429.7024
36	281372.653
37	281316.1512
38	281253.5793
39	281196.5736
40	281137.9224
41	281081.5157
42	281030.1787
43	280974.2409
44	280914.0395
45	280856.9642
46	280798.5037
47	280744.1394
48	280683.7746
49	280624.9622
50	280586.5393
51	280527.6885
52	280471.3826
53	280410.8163
54	280353.841
55	280296.7063
56	280234.0777
57	280175.3155
58	280114.2365
59	280058.8306
60	280002.2319
61	279942.1144
62	279883.6559
63	279830.0995
64	279772.5192
65	279724.2631
66	279659.2777
67	279605.4902
68	279549.3047
69	279491.8966
70	279432.5969
71	279375.8043
72	279318.1166
73	279263.0536
74	279205.0634
75	279147.7718
76	279085.2965
77	279026.7776
78	278971.6247
79	278914.8129
80	278860.0945
81	278806.8712
82	278752.1219
83	278696.984
84	278638.7467
85	278585.986
86	278529.6549
87	278474.1921
88	278418.7431
89	278360.2001
90	278303.6131
91	278250.1747
92	278194.9589
93	278137.8155
94	278077.8894
95	278025.1742
96	277969.2679
97	277912.5712
98	277856.7929
99	277801.6312
100	277750.7796
101	277692.855
102	277636.7131
103	277584.2796
104	277530.1155
105	277475.7953
106	277420.69
107	277363.9069
108	277310.8812
109	277255.7421
110	277200.0015
111	277143.448
112	277087.3292
113	277030.8337
114	276975.2568
115	276917.5828
116	276864.338
117	276807.8199
118	276756.7804
119	276702.8478
120	276650.0464
121	276596.0415
122	276563.604
123	276512.9752
124	276461.7275
125	276407.7371
126	276352.2413
127	276299.6931
128	276245.9519
129	276190.2188
130	276135.472
131	276079.5094
132	276025.8613
133	275968.8304
134	275916.9075
135	275862.8183
136	275812.6757
137	275763.4435
138	275714.3741
139	275664.0299
140	275608.2296
141	275556.9943
142	275504.4111
143	275450.7231
144	275400.8307
145	275348.2515
146	275295.2306
147	275240.515
148	275190.1246
149	275136.4192
150	275083.8439
151	275029.2251
152	274978.9813
153	274927.2312
154	274876.336
155	274830.5104
156	274780.4311
157	274725.6886
158	274674.1447
159	274624.129
160	274572.7858
161	274518.7706
162	274469.5487
163	274414.7534
164	274365.0234
165	274318.7773
166	274264.6286
167	274214.4819
168	274159.1925
169	274107.2599
170	274055.1675
171	274003.4958
172	273952.7746
173	273903.7472
174	273852.6654
175	273801.3104
176	273751.7105
177	273698.7536
178	273647.9429
179	273598.0127
180	273543.7393
181	273497.89
182	273451.9664
183	273404.8334
184	273359.9771
185	273312.3363
186	273265.0049
187	273215.0692
188	273168.2372
189	273115.9543
190	273068.235
191	273017.6143
192	272968.6557
193	272919.0341
194	272871.4954
195	272822.2553
196	272773.1836
197	272724.4067
198	272679.1935
199	272627.4727
200	272580.6568
201	272534.1596
202	272489.8972
203	272440.6704
204	272394.884
205	272345.5579
206	272299.4837
207	272250.2572
208	272201.617
209	272153.827
210	272107.0155
211	272055.0727
212	272008.3324
213	271959.8306
214	271910.2837
215	271863.3286
216	271812.0192
217	271765.9874
218	271723.3764
219	271676.6617
220	271629.9848
221	271584.0169
222	271537.7974
223	271489.7733
224	271444.707
225	271398.5658
226	271351.8678
227	271307.0357
228	271258.3747
229	271211.3413
230	271167.149
231	271117.8219
232	271071.2706
233	271022.1291
234	270974.8959
235	270925.6162
236	270878.2599
237	270829.0151
238	270785.0618
239	270742.191
240	270697.2399
241	270649.222
242	270604.3291
243	270559.959
244	270515.0401
245	270470.9789
246	270430.2128
247	270382.8208
248	270336.9187
249	270294.1836
250	270247.4785
251	270202.424
252	270155.8165
253	270109.1207
254	270060.7947
255	270019.2237
256	269975.5225
257	269931.4796
258	269884.8655
259	269837.5774
260	269794.4023
261	269747.4532
262	269700.4821
263	269659.7309
264	269615.9607
265	269569.8687
266	269524.689
267	269481.6842
268	269440.5643
269	269399.6762
270	269357.0639
271	269314.698
272	269272.7593
273	269226.9668
274	269183.5361
275	269141.4762
276	269097.9161
277	269052.7019
278	269009.1091
279	268970.268
280	268924.3878
281	268882.4071
282	268840.0303
283	268798.0404
284	268757.2046
285	268712.7111
286	268671.469
287	268627.2376
288	268581.4646
289	268536.7846
290	268496.5559
291	268454.4679
292	268415.7178
293	268372.0617
294	268329.232
295	268283.9444
296	268245.6055
297	268204.6842
298	268166.45
299	268125.5833
300	268083.384
301	268043.2295
302	267996.9359
303	267959.1163
304	267915.078
305	267869.4364
306	267832.4526
307	267788.6308
308	267746.3896
309	267705.622
310	267663.1206
311	267624.6846
312	267581.2216
313	267542.4132
314	267502.1113
315	267461.3427
316	267422.8833
317	267379.1818
318	267335.1559
319	267292.7761
320	267252.6736
321	267208.0423
322	267173.1009
323	267131.8852
324	267093.1539
325	267054.1892
326	267015.7421
327	266975.3572
328	266943.2193
329	266906.0545
330	266865.289
331	266827.8039
332	266786.1288
333	266742.0833
334	266702.3225
335	266661.2042
336	266618.9482
337	266579.9426
338	266540.1349
339	266505.746
340	266465.4536
341	266427.4713
342	266387.6149
343	266347.5129
344	266308.9989
345	266269.4478
346	266229.3135
347	266185.3142
348	266143.1759
349	266105.7177
350	266067.9669
351	266028.6715
352	265986.7383
353	265949.0448
354	265906.8068
355	265866.9941
356	265827.665
357	265784.066
358	265743.4565
359	265702.6684
360	265666.2758
361	265626.6775
362	265586.5353
363	265548.1544
364	265510.4405
365	265466.7767
366	265429.0685
367	265393.0534
368	265354.0423
369	265312.7688
370	265272.8603
371	265235.8851
372	265201.6132
373	265167.3228
374	265129.12
375	265091.7343
376	265053.3791
377	265014.2787
378	264973.7274
379	264939.5088
380	264903.0449
381	264862.8381
382	264826.4652
383	264790.7914
384	264754.1868
385	264719.642
386	264681.2097
387	264642.705
388	264605.5067
389	264567.9516
390	264530.0144
391	264493.2407
392	264453.133
393	264416.8213
394	264380.8013
395	264343.3755
396	264308.5671
397	264271.5735
398	264236.6646
399	264206.8842
400	264172.4119
401	264133.697
402	264096.0661
403	264055.9032
404	264020.0112
405	263983.8905
406	263946.7248
407	263912.3492
408	263878.8659
409	263842.4154
410	263807.5285
411	263772.1478
412	263731.9134
413	263697.3945
414	263659.4979
415	263620.7503
416	263583.2837
417	263549.6256
418	263514.2322
419	263478.434
420	263446.7706
421	263409.2531
422	263372.5924
423	263337.6746
424	263305.0208
425	263270.2511
426	263237.2779
427	263204.2457
428	263168.4801
429	263133.2147
430	263097.8867
431	263061.8775
432	263027.1078
433	262993.3578
434	262961.3288
435	262929.0782
436	262896.0976
437	262860.5168
438	262825.5436
439	262791.9045
440	262758.1872
441	262721.3365
442	262684.0433
443	262647.4454
444	262613.3963
445	262580.2844
446	262546.045
447	262509.8253
448	262474.8248
449	262439.7866
450	262404.2027
451	262371.2085
452	262338.1658
453	262304.1592
454	262268.0955
455	262235.3955
456	262200.6462
457	262168.9702
458	262133.3027
459	262101.8648
460	262072.1058
461	262038.5473
462	262001.3897
463	261966.5874
464	261934.1833
465	261902.5899
466	261868.0131
467	261833.3025
468	261800.7672
469	261769.5466
470	261735.6034
471	261698.2626
472	261665.185
473	261633.1466
474	261599.3873
475	261563.9867
476	261528.2646
477	261495.5282
478	261462.3291
479	261429.0121
480	261399.4898
481	261367.0167
482	261337.0649
483	261302.6784
484	261271.0176
485	261241.9319
486	261208.8962
487	261175.8414
488	261145.8717
489	261114.8244
490	261080.5718
491	261045.6351
492	261012.6458
493	260977.2664
494	260944.198
495	260909.6308
496	260875.6919
497	260840.09
498	260812.8742
499	260778.9396
500	260747.0999
501	260716.3037
502	260682.089
503	260649.0949
504	260613.5746
505	260578.9048
506	260545.387
507	260515.8669
508	260482.5517
509	260448.6799
510	260414.9764
511	260379.894
512	260345.3677
513	260311.0636
514	260281.9387
515	260248.6638
516	260217.6906
517	260188.6392
518	260156.1055
519	260125.6669
520	260090.9588
521	260064.022
522	260035.2263
523	260004.5704
524	259969.6925
525	259942.1944
526	259910.069
527	259876.1337
528	259839.3957
529	259810.4144
530	259777.4066
531	259748.2307
532	259719.0341
533	259688.3113
534	259654.661
535	259623.2169
536	259593.0693
537	259560.3297
538	259532.9841
539	259505.8529
540	259476.4748
541	259447.253
542	259413.6538
543	259384.1884
544	259354.3554
545	259320.9499
546	259288.2575
547	259255.1792
548	259222.7934
549	259188.9207
550	259161.4758
551	259134.7822
552	259101.8586
553	259070.4361
554	259039.0141
555	259010.008
556	258981.2557
557	258950.1533
558	258920.5042
559	258891.3308
560	258860.4504
561	258831.7284
562	258801.7748
563	258774.7771
564	258744.19
565	258712.4963
566	258682.4458
567	258649.9711
568	258617.4036
569	258587.378
570	258557.606
571	258527.8859
572	258496.7716
573	258472.9151
574	258444.7949
575	258413.1538
576	258379.3015
577	258348.3954
578	258315.0403
579	258285.399
580	258254.3819
581	258224.1668
582	258194.9113
583	258161.7138
584	258131.1445
585	258100.0496
586	258068.515
587	258041.2355
588	258015.7293
589	257985.4102
590	257954.0909
591	257923.3735
592	257893.1976
593	257864.9233
594	257837.4249
595	257809.6781
596	257778.5409
597	257751.7985
598	257724.6455
599	257695.2386
600	257668.5472
601	257638.9666
602	257606.8585
603	257579.2427
604	257551.1714
605	257526.1337
606	257499.9434
607	257472.8818
608	257442.1859
609	257415.969
610	257387.6563
611	257355.7296
612	257331.1667
613	257301.0422
614	257278.4792
615	257249.8704
616	257221.379
617	257195.4231
618	257168.65
619	257136.4269
620	257106.8977
621	257078.7688
622	257049.3623
623	257022.8493
624	256995.3261
625	256967.3661
626	256939.0666
627	256907.2012
628	256881.0511
629	256854.6408
630	256829.3659
631	256800.9004
632	256771.9393
633	256745.3314
634	256719.1508
635	256689.642
636	256662.3474
637	256634.474
638	256607.3201
639	256578.306
640	256548.8135
641	256519.5453
642	256491.9543
643	256463.9515
644	256435.3485
645	256409.9606
646	256383.9993
647	256355.6564
648	256330.946
649	256303.7329
650	256274.9419
651	256247.632
652	256220.1086
653	256190.3848
654	256165.7836
655	256136.805
656	256109.8256
657	256082.9804
658	256051.7004
659	256022.4452
660	255997.6312
661	255971.6021
662	255944.7227
663	255920.1368
664	255894.6121
665	255868.2013
666	255841.5331
667	255813.7013
668	255786.6868
669	255763.8881
670	255738.7451
671	255716.4289
672	255688.204
673	255662.8476
674	255635.805
675	255608.5621
676	255580.4383
677	255555.2873
678	255530.7218
679	255505.5857
680	255478.7292
681	255451.7648
682	255427.3812
683	255403.5455
684	255382.1693
685	255356.376
686	255339.5247
687	255309.3793
688	255284.4249
689	255260.546
690	255231.8066
691	255205.8453
692	255180.458
693	255160.6358
694	255135.4856
695	255109.1394
696	255084.5853
697	255060.2685
698	255035.0183
699	255009.1685
700	254988.3132
701	254964.7375
702	254936.6895
703	254913.4093
704	254887.7713
705	254864.7544
706	254836.6885
707	254810.7118
708	254788.1261
709	254762.279
710	254738.1016
711	254716.8195
712	254692.7767
713	254669.8645
714	254645.191
715	254623.683
716	254598.525
717	254572.6621
718	254546.6644
719	254520.3899
720	254493.9031
721	254465.5664
722	254441.7913
723	254418.5442
724	254392.7388
725	254369.0561
726	254343.2134
727	254320.9108
728	254296.1564
729	254272.0915
730	254251.3864
731	254225.1977
732	254198.6795
733	254174.8087
734	254152.2935
735	254132.0042
736	254108.8925
737	254085.6865
738	254068.2355
739	254049.0833
740	254022.47
741	253999.568
742	253979.7161
743	253957.2464
744	253934.7117
745	253909.3255
746	253886.2387
747	253858.1663
748	253835.1798
749	253812.2213
750	253787.5283
751	253764.4423
752	253739.5761
753	253715.8173
754	253693.0087
755	253669.6765
756	253647.8771
757	253624.9676
758	253604.6372
759	253581.8776
760	253558.3575
761	253536.4377
762	253513.3459
763	253492.2857
764	253469.9142
765	253451.258
766	253427.0837
767	253407.6682
768	253382.9103
769	253360.131
770	253337.0251
771	253315.1544
772	253288.5802
773	253263.2069
774	253241.4863
775	253218.1805
776	253196.9879
777	253171.9657
778	253149.6001
779	253127.5871
780	253105.4099
781	253084.4724
782	253062.1214
783	253039.5553
784	253016.5827
785	252992.1046
786	252970.0138
787	252949.7426
788	252927.0357
789	252899.8285
790	252876.764
791	252855.6757
792	252833.5612
793	252811.3594
794	252788.4054
795	252766.3555
796	252742.2693
797	252724.702
798	252701.9512
799	252681.7357
800	252661.7994
801	252642.5476
802	252619.7249
803	252593.0111
804	252572.2866
805	252548.6134
806	252526.755
807	252504.7911
808	252482.3835
809	252461.6166
810	252438.359
811	252414.4276
812	252391.921
813	252370.0083
814	252346.3356
815	252327.5987
816	252304.9555
817	252286.3502
818	252266.0748
819	252245.2235
820	252223.7817
821	252198.9431
822	252177.3086
823	252160.9138
824	252144.9973
825	252123.1884
826	252101.7575
827	252084.4438
828	252063.5015
829	252042.8822
830	252022.411
831	252002.6444
832	251982.6783
833	251961.5381
834	251941.6752
835	251923.2637
836	251903.552
837	251886.8517
838	251866.0581
839	251844.1056
840	251823.4734
841	251805.0332
842	251785.2728
843	251764.8334
844	251743.6658
845	251720.7588
846	251698.4529
847	251677.2842
848	251656.7378
849	251636.8718
850	251614.4067
851	251595.1663
852	251578.8922
853	251560.4332
854	251538.6421
855	251516.7509
856	251496.1791
857	251473.1901
858	251455.2103
859	251433.9145
860	251412.6484
861	251395.1074
862	251373.5096
863	251352.0875
864	251332.2802
865	251317.3019
866	251295.0193
867	251274.3011
868	251252.1596
869	251230.3551
870	251206.9226
871	251187.2191
872	251167.9877
873	251145.992
874	251125.5475
875	251105.3376
876	251089.0986
877	251068.1797
878	251047.2952
879	251025.2498
880	251007.3527
881	250988.3108
882	250973.8689
883	250954.4954
884	250934.8254
885	250912.9371
886	250889.4452
887	250870.1052
888	250850.1422
889	250829.1358
890	250811.012
891	250793.4131
892	250774.7968
893	250755.8704
894	250737.2274
895	250718.2887
896	250700.2067
897	250679.9302
898	250657.7129
899	250638.1863
900	250617.9073
901	250597.1613
902	250578.1275
903	250561.9619
904	250544.1495
905	250530.3849
906	250513.6098
907	250491.307
908	250470.6605
909	250452.6189
910	250427.0255
911	250404.6122
912	250384.8425
913	250364.1581
914	250348.4162
915	250328.7381
916	250308.5842
917	250294.4427
918	250275.0631
919	250257.113
920	250237.5245
921	250217.5357
922	250198.4097
923	250177.491
924	250155.6936
925	250136.3018
926	250114.9337
927	250096.1877
928	250081.5964
929	250062.6125
930	250045.4171
931	250026.6894
932	250008.1581
933	249988.3061
934	249968.9549
935	249949.3659
936	249928.7593
937	249908.3641
938	249888.7128
939	249870.968
940	249853.9334
941	249834.1988
942	249814.8321
943	249795.9711
944	249778.8612
945	249757.2787
946	249739.0502
947	249719.1792
948	249701.8898
949	249682.5043
950	249664.4173
951	249646.081
952	249629.3568
953	249611.0293
954	249592.6905
955	249574.5044
956	249554.8197
957	249535.1848
958	249517.8868
959	249499.8107
960	249479.4458
961	249460.7644
962	249441.8866
963	249423.1149
964	249405.2114
965	249387.2747
966	249368.9225
967	249347.7299
968	249327.3768
969	249307.0255
970	249286.3727
971	249268.8622
972	249251.2329
973	249232.6151
974	249211.9575
975	249194.3604
976	249176.377
977	249157.6726
978	249137.839
979	249119.3833
980	249099.2705
981	249083.3591
982	249065.4489
983	249048.3516
984	249031.7908
985	249014.1727
986	248995.364
987	248976.9642
988	248961.9585
989	248942.2285
990	248925.2466
991	248903.5072
992	248886.7566
993	248869.5993
994	248852.0523
995	248836.0405
996	248818.9983
997	248800.7425
998	248782.5479
999	248763.9657
1000	248746.8288
1001	248729.2158
1002	248708.0454
1003	248690.2348
1004	248673.1686
1005	248654.0538
1006	248636.8716
1007	248623.3712
1008	248605.8311
1009	248588.8372
1010	248570.8183
1011	248553.1224
1012	248536.0366
1013	248516.7024
1014	248498.5139
1015	248482.9713
1016	248466.2351
1017	248451.6106
1018	248435.3971
1019	248418.9742
1020	248402.4322
1021	248383.8077
1022	248366.4886
1023	248349.2699
1024	248330.8638
1025	248315.7288
1026	248298.5003
1027	248283.8277
1028	248264.6843
1029	248249.7792
1030	248233.0166
1031	248215.7977
1032	248199.4816
1033	248183.4504
1034	248166.3153
1035	248148.6741
1036	248135.4651
1037	248117.0112
1038	248104.2609
1039	248088.0773
1040	248073.535
1041	248059.0354
1042	248040.1171
1043	248021.5323
1044	248002.7739
1045	247984.5508
1046	247967.8359
1047	247952.3014
1048	247936.587
1049	247918.5643
1050	247901.9803
1051	247885.7312
1052	247872.219
1053	247857.2715
1054	247839.3676
1055	247821.7064
1056	247809.0923
1057	247792.1821
1058	247777.8305
1059	247763.4279
1060	247744.9017
1061	247729.3154
1062	247713.3062
1063	247698.3723
1064	247681.6936
1065	247668.2815
1066	247650.1873
1067	247635.8546
1068	247618.714
1069	247602.2332
