iter	Passed	Remaining
0	39	396582
1	111	558922
2	151	504815
3	189	473581
4	237	474615
5	315	526042
6	355	507752
7	401	501653
8	430	478410
9	458	458059
10	536	487337
11	588	489903
12	630	484191
13	729	520207
14	807	537346
15	848	529229
16	876	514713
17	913	506317
18	953	500927
19	1019	508493
20	1046	497510
21	1095	496655
22	1138	493706
23	1190	494721
24	1238	494161
25	1293	496324
26	1333	492371
27	1380	491713
28	1443	496421
29	1484	493253
30	1530	492264
31	1594	496664
32	1706	515438
33	1793	525634
34	1832	521859
35	1864	516079
36	1911	514801
37	1986	520833
38	2022	516445
39	2069	515396
40	2124	515938
41	2154	510811
42	2196	508610
43	2263	512168
44	2304	509746
45	2359	510652
46	2408	509953
47	2446	507313
48	2493	506474
49	2525	502522
50	2544	496422
51	2596	496695
52	2636	494820
53	2706	498513
54	2762	499440
55	2809	498833
56	2879	502294
57	2943	504616
58	2983	502695
59	3023	500970
60	3063	499142
61	3111	498721
62	3148	496639
63	3181	493878
64	3225	492989
65	3256	490208
66	3357	497760
67	3391	495291
68	3434	494277
69	3475	493071
70	3556	497354
71	3601	496654
72	3664	498346
73	3740	501793
74	3813	504686
75	3908	510410
76	3969	511609
77	4042	514257
78	4085	513006
79	4139	513239
80	4256	521263
81	4317	522150
82	4393	524993
83	4463	526863
84	4522	527529
85	4581	528114
86	4630	527663
87	4688	528040
88	4779	532196
89	4826	531499
90	4880	531406
91	4935	531532
92	4974	529870
93	5054	532708
94	5137	535633
95	5258	542468
96	5378	549087
97	5426	548267
98	5494	549545
99	5543	548796
100	5610	549851
101	5699	553066
102	5737	551324
103	5763	548413
104	5822	548718
105	5854	546480
106	5902	545759
107	6008	550336
108	6048	548854
109	6101	548566
110	6141	547186
111	6180	545665
112	6219	544174
113	6294	545890
114	6341	545095
115	6405	545817
116	6440	544059
117	6500	544377
118	6575	546000
119	6627	545649
120	6684	545730
121	6710	543367
122	6843	549573
123	6950	553584
124	6991	552349
125	7060	553268
126	7151	555940
127	7251	559242
128	7290	557872
129	7330	556523
130	7404	557821
131	7457	557487
132	7514	557518
133	7577	557905
134	7639	558251
135	7680	557056
136	7778	559989
137	7847	560791
138	7932	562776
139	7977	561832
140	8023	560996
141	8072	560407
142	8156	562214
143	8195	560960
144	8244	560318
145	8338	562793
146	8417	564187
147	8463	563367
148	8509	562606
149	8577	563240
150	8634	563165
151	8703	563886
152	8746	562916
153	8806	563027
154	8876	563815
155	8941	564236
156	8966	562169
157	9010	561300
158	9050	560147
159	9098	559537
160	9167	560237
161	9207	559138
162	9233	557254
163	9270	555989
164	9325	555859
165	9366	554879
166	9409	554038
167	9456	553411
168	9493	552225
169	9572	553496
170	9610	552382
171	9638	550767
172	9689	550389
173	9752	550726
174	9779	549024
175	9845	549545
176	9869	547755
177	9896	546095
178	9938	545265
179	9999	545536
180	10051	545261
181	10088	544239
182	10142	544105
183	10190	543630
184	10238	543171
185	10276	542219
186	10321	541623
187	10368	541155
188	10432	541568
189	10478	541030
190	10515	540024
191	10546	538736
192	10571	537189
193	10606	536106
194	10651	535578
195	10684	534450
196	10732	534048
197	10779	533634
198	10824	533117
199	10860	532154
200	10901	531471
201	10947	531005
202	10992	530529
203	11054	530810
204	11088	529812
205	11133	529304
206	11186	529207
207	11216	528049
208	11262	527613
209	11301	526874
210	11381	528045
211	11451	528698
212	11489	527943
213	11538	527663
214	11627	529181
215	11676	528895
216	11715	528153
217	11762	527817
218	11808	527406
219	11848	526730
220	11875	525489
221	11934	525647
222	11973	524940
223	12012	524249
224	12050	523523
225	12096	523156
226	12134	522412
227	12179	522016
228	12221	521450
229	12265	521005
230	12320	521016
231	12376	521094
232	12430	521047
233	12456	519856
234	12500	519445
235	12533	518566
236	12563	517547
237	12610	517244
238	12656	516922
239	12719	517262
240	12751	516374
241	12832	517428
242	12879	517155
243	12930	517017
244	12958	515957
245	12995	515279
246	13038	514854
247	13085	514558
248	13139	514531
249	13178	513974
250	13233	513982
251	13279	513695
252	13340	513964
253	13380	513417
254	13433	513374
255	13463	512452
256	13527	512815
257	13612	514004
258	13674	514299
259	13737	514641
260	13773	513956
261	13799	512895
262	13859	513117
263	13908	512931
264	13955	512662
265	14000	512323
266	14045	511993
267	14090	511681
268	14128	511096
269	14184	511160
270	14228	510794
271	14268	510297
272	14346	511151
273	14386	510666
274	14422	510036
275	14447	509017
276	14484	508407
277	14520	507813
278	14576	507883
279	14647	508466
280	14685	507947
281	14712	507022
282	14762	506872
283	14792	506072
284	14825	505354
285	14871	505125
286	14917	504872
287	14968	504757
288	15012	504436
289	15083	505026
290	15123	504593
291	15159	504000
292	15201	503608
293	15253	503571
294	15293	503119
295	15363	503669
296	15399	503098
297	15466	503541
298	15521	503594
299	15560	503109
300	15585	502195
301	15639	502224
302	15691	502171
303	15728	501641
304	15766	501178
305	15798	500504
306	15845	500300
307	15891	500071
308	15941	499957
309	15991	499853
310	16034	499548
311	16096	499815
312	16128	499151
313	16177	499032
314	16203	498202
315	16282	498982
316	16418	501506
317	16443	500645
318	16485	500305
319	16525	499905
320	16603	500647
321	16639	500121
322	16668	499373
323	16696	498640
324	16745	498513
325	16793	498348
326	16844	498266
327	16903	498445
328	16954	498383
329	16990	497875
330	17044	497900
331	17076	497288
332	17107	496632
333	17154	496451
334	17202	496311
335	17235	495736
336	17263	494995
337	17310	494828
338	17362	494798
339	17416	494824
340	17464	494692
341	17510	494482
342	17596	495428
343	17657	495631
344	17718	495862
345	17772	495873
346	17855	496720
347	17933	497397
348	17964	496763
349	18026	497012
350	18089	497275
351	18137	497123
352	18188	497053
353	18216	496385
354	18241	495603
355	18306	495926
356	18356	495833
357	18410	495857
358	18467	495938
359	18505	495532
360	18594	496490
361	18621	495789
362	18682	495998
