iter	Passed	Remaining
0	34	34235
1	62	31248
2	97	32469
3	130	32573
4	184	36627
5	238	39504
6	262	37167
7	318	39534
8	343	37862
9	381	37793
10	413	37175
11	441	36373
12	478	36293
13	503	35453
14	615	40414
15	636	39114
16	699	40435
17	730	39864
18	757	39114
19	809	39682
20	833	38870
21	859	38208
22	888	37743
23	927	37706
24	951	37103
25	985	36902
26	1027	37026
27	1062	36877
28	1089	36486
29	1124	36366
30	1172	36645
31	1204	36438
32	1249	36607
33	1286	36539
34	1342	37016
35	1374	36815
36	1421	37006
37	1448	36672
38	1487	36653
39	1519	36457
40	1565	36627
41	1608	36691
42	1645	36610
43	1703	37011
44	1772	37615
45	1818	37714
46	1888	38287
47	1938	38448
48	1985	38531
49	2016	38316
50	2041	37987
51	2098	38252
52	2151	38451
53	2201	38568
54	2229	38308
55	2285	38526
56	2342	38753
57	2380	38664
58	2405	38372
59	2440	38233
60	2466	37963
61	2523	38177
62	2568	38206
63	2674	39108
64	2703	38894
65	2754	38984
66	2783	38761
67	2822	38680
68	2863	38633
69	2907	38624
70	3005	39319
71	3041	39203
72	3088	39225
73	3117	39011
74	3160	38975
75	3219	39148
76	3246	38913
77	3307	39096
78	3350	39062
79	3395	39043
80	3429	38913
81	3467	38821
82	3498	38657
83	3526	38450
84	3551	38226
85	3579	38039
86	3606	37845
87	3637	37697
88	3683	37701
89	3719	37606
90	3808	38044
91	3858	38082
92	3906	38095
93	3939	37968
94	3974	37862
95	4002	37687
96	4046	37666
97	4081	37566
98	4105	37364
99	4164	37484
100	4204	37424
101	4245	37381
102	4279	37271
103	4318	37209
104	4378	37321
105	4426	37330
106	4462	37244
107	4494	37124
108	4536	37084
109	4575	37016
110	4626	37049
111	4652	36885
112	4704	36927
113	4748	36908
114	4792	36878
115	4818	36720
116	4844	36559
117	4883	36505
118	4930	36500
119	4968	36435
120	5032	36560
121	5090	36632
122	5133	36599
123	5211	36819
124	5237	36659
125	5284	36659
126	5341	36719
127	5377	36631
128	5412	36541
129	5449	36468
130	5520	36619
131	5559	36558
132	5583	36400
133	5617	36304
134	5653	36226
135	5694	36175
136	5733	36116
137	5788	36155
138	5837	36161
139	5876	36101
140	5902	35959
141	5951	35957
142	5991	35904
143	6030	35846
144	6089	35909
145	6114	35762
146	6162	35756
147	6185	35609
148	6241	35646
149	6284	35613
150	6340	35650
151	6405	35734
152	6447	35693
153	6489	35648
154	6521	35550
155	6558	35481
156	6625	35577
157	6684	35624
158	6727	35582
159	6808	35743
160	6875	35828
161	6926	35831
162	6961	35747
163	7021	35793
164	7052	35691
165	7081	35579
166	7108	35456
167	7163	35475
168	7196	35387
169	7238	35339
170	7312	35448
171	7360	35430
172	7439	35562
173	7477	35496
174	7503	35371
175	7545	35328
176	7591	35299
177	7643	35299
178	7686	35254
179	7721	35177
180	7756	35097
181	7801	35066
182	7828	34952
183	7875	34925
184	7907	34835
185	7959	34832
186	7999	34778
187	8044	34745
188	8087	34704
189	8123	34633
190	8168	34598
191	8192	34475
192	8231	34416
193	8266	34344
194	8293	34237
195	8352	34260
196	8399	34237
197	8442	34197
198	8470	34096
199	8518	34075
200	8567	34057
201	8620	34054
202	8652	33970
203	8731	34069
204	8871	34402
205	8929	34416
206	8949	34284
207	8980	34194
208	9017	34130
209	9057	34072
210	9108	34060
211	9152	34021
212	9193	33966
213	9224	33881
214	9267	33837
215	9327	33855
216	9381	33850
217	9423	33802
218	9472	33781
219	9499	33680
220	9579	33765
221	9605	33662
222	9646	33610
223	9700	33604
224	9722	33488
225	9778	33487
226	9820	33441
227	9886	33474
228	9913	33375
229	9973	33388
230	10021	33362
231	10100	33434
232	10132	33353
233	10200	33390
234	10247	33360
235	10306	33365
236	10331	33262
237	10380	33233
238	10418	33174
239	10450	33093
240	10475	32991
241	10518	32945
242	10630	33116
243	10690	33123
244	10716	33024
245	10744	32933
246	10802	32932
247	10840	32872
248	10914	32919
249	10978	32934
250	11010	32856
251	11045	32787
252	11086	32733
253	11140	32720
254	11179	32662
255	11232	32644
256	11292	32648
257	11331	32588
258	11356	32490
259	11383	32397
260	11443	32400
261	11475	32323
262	11505	32242
263	11544	32185
264	11595	32161
265	11643	32129
266	11671	32041
267	11704	31969
268	11749	31928
269	11789	31876
270	11842	31856
271	11885	31811
272	11927	31762
273	11953	31671
274	12023	31698
275	12086	31706
276	12125	31648
277	12191	31663
278	12259	31681
279	12386	31851
280	12433	31814
281	12493	31810
282	12558	31817
283	12622	31822
284	12662	31766
285	12712	31737
286	12740	31652
287	12833	31727
288	12891	31716
289	12990	31804
290	13134	32000
291	13174	31944
292	13221	31903
293	13314	31972
294	13371	31955
295	13463	32020
296	13503	31963
297	13547	31915
298	13599	31882
299	13684	31930
300	13728	31880
301	13814	31929
302	13878	31925
303	13935	31904
304	14059	32036
305	14144	32080
306	14219	32098
307	14255	32029
308	14298	31975
309	14322	31880
310	14346	31784
311	14382	31715
312	14454	31725
