iter	RMSE
0	1.818212622
1	1.801927395
2	1.790236657
3	1.777504383
4	1.764032579
5	1.75331457
6	1.743604562
7	1.732247693
8	1.722984891
9	1.712788407
10	1.704658382
11	1.697007199
12	1.691098373
13	1.6769902
14	1.665731815
15	1.660522007
16	1.656409072
17	1.650966455
18	1.6463312
19	1.641961996
20	1.638007721
21	1.634140352
22	1.630563273
23	1.626146097
24	1.623095886
25	1.61602932
26	1.613284346
27	1.610349731
28	1.608159512
29	1.59525297
30	1.591930995
31	1.589837526
32	1.577400973
33	1.569617332
34	1.568327371
35	1.566359897
36	1.558400142
37	1.556223826
38	1.554071824
39	1.54385507
40	1.541953003
41	1.540350612
42	1.538730576
43	1.538326176
44	1.53664205
45	1.533419477
46	1.529110745
47	1.527274594
48	1.526633582
49	1.525445035
50	1.522544723
51	1.521902152
52	1.521391317
53	1.520062313
54	1.519226121
55	1.518762922
56	1.514730642
57	1.511641311
58	1.508646694
59	1.507574469
60	1.502875259
61	1.497467653
62	1.496782154
63	1.494237896
64	1.491704637
65	1.491530166
66	1.490136115
67	1.488944136
68	1.488003199
69	1.486133123
70	1.485933828
71	1.485128493
72	1.484841765
73	1.48210967
74	1.481836234
75	1.481725902
76	1.481564121
77	1.480112212
78	1.478595603
79	1.477432082
80	1.476892481
81	1.476278822
82	1.472424662
83	1.471474677
84	1.470022069
85	1.467983837
86	1.466045407
87	1.462883736
88	1.46264436
89	1.462216085
90	1.460469205
91	1.460269151
92	1.453662574
93	1.452843629
94	1.45188484
95	1.449179792
96	1.448367436
97	1.448039003
98	1.446976068
99	1.446431975
100	1.444498214
101	1.444071323
102	1.443842493
103	1.443316019
104	1.443144596
105	1.442964788
106	1.442353906
107	1.441448194
108	1.438117802
109	1.437740887
110	1.437211171
111	1.434808894
112	1.433304988
113	1.432291811
114	1.430574205
115	1.430277579
116	1.429569694
117	1.425543852
118	1.425419915
119	1.424801589
120	1.421114043
121	1.42101278
122	1.420009168
123	1.415227341
124	1.414384439
125	1.41428668
126	1.414194364
127	1.411182844
128	1.411148722
129	1.409617337
130	1.409416331
131	1.409065121
132	1.404620198
133	1.404563994
134	1.403593377
135	1.402062352
136	1.401574816
137	1.401066618
138	1.400984787
139	1.40032267
140	1.40027027
141	1.400102414
142	1.399293609
143	1.398393847
144	1.398365136
145	1.398131567
146	1.397915508
147	1.397543539
148	1.397272547
149	1.397169843
150	1.395938352
151	1.395244612
152	1.394829051
153	1.394670973
154	1.394578254
155	1.392571272
156	1.390912758
157	1.390768323
158	1.387158556
159	1.387000851
160	1.386739096
161	1.386155616
162	1.386085803
163	1.38539935
164	1.384863723
165	1.383829709
166	1.383766342
167	1.3828332
168	1.382751003
169	1.382574057
170	1.382442526
171	1.380416582
172	1.379637203
173	1.379471074
174	1.37911251
175	1.377635369
176	1.373675047
177	1.373308823
178	1.373204454
179	1.37306061
180	1.372331201
181	1.372129726
182	1.371783123
183	1.371610901
184	1.370408917
185	1.370029111
186	1.369963638
187	1.364489957
188	1.364169892
189	1.361909465
190	1.361609867
191	1.361422488
192	1.360581267
193	1.360276871
194	1.360267857
195	1.359967901
196	1.359879736
197	1.359818814
198	1.359499486
199	1.358373049
200	1.357878146
201	1.357823228
202	1.357701279
203	1.357497455
204	1.35728647
205	1.357072199
206	1.357062423
207	1.357009385
208	1.356617358
209	1.35604322
210	1.355898286
211	1.354886879
212	1.354619112
213	1.354378696
214	1.353884011
215	1.352938363
216	1.352800502
217	1.352376285
218	1.352142149
219	1.349155072
220	1.348931717
221	1.348014671
222	1.347855341
223	1.347371447
224	1.34700278
225	1.34656691
226	1.346405567
227	1.345558044
228	1.34502898
229	1.344982902
230	1.344135684
231	1.344092887
232	1.343541259
233	1.343394806
234	1.343333898
235	1.343277325
236	1.342572405
237	1.341808467
238	1.341625036
239	1.340220984
240	1.340133883
241	1.340081466
242	1.339950568
243	1.339561003
244	1.336769558
245	1.336633542
246	1.336492878
247	1.336159827
248	1.336039137
249	1.334469495
250	1.333764065
251	1.333476205
252	1.33236551
253	1.331961023
254	1.331911327
255	1.33100012
256	1.33078006
257	1.330406107
258	1.329361752
259	1.328338429
260	1.328185117
261	1.328059647
262	1.327767411
263	1.327720697
264	1.327223838
265	1.326171979
266	1.32612931
267	1.325926827
268	1.32538717
269	1.325142417
270	1.324707041
271	1.324667274
272	1.324425363
273	1.324388327
274	1.324058412
275	1.323910481
276	1.323431264
277	1.323396167
278	1.323179568
279	1.323007425
280	1.322556923
281	1.322262512
282	1.321817158
283	1.32050554
284	1.320473065
285	1.318696253
286	1.318665233
287	1.316499113
288	1.316470989
289	1.316444756
290	1.316420269
291	1.316156126
292	1.316050205
293	1.314474086
294	1.314451515
295	1.314430383
296	1.31364343
297	1.313450953
298	1.313271482
299	1.313250626
300	1.313231119
301	1.312440078
302	1.312252295
303	1.311528831
304	1.311510168
305	1.310813197
306	1.310734962
307	1.309832316
308	1.309018164
309	1.304841385
310	1.304575117
311	1.303962967
312	1.303890476
313	1.30362028
314	1.302832515
315	1.301673286
316	1.301607127
317	1.300974321
318	1.300433483
319	1.300372869
320	1.300317463
321	1.30026676
322	1.299697506
323	1.299651594
324	1.299483406
325	1.299440881
326	1.294950621
327	1.293175807
328	1.293134223
329	1.293095999
330	1.292421819
331	1.292386339
332	1.291823794
333	1.291485841
334	1.291205761
335	1.2910507
336	1.291039044
337	1.290827564
338	1.290816747
339	1.290202038
340	1.290106012
341	1.288885554
342	1.288529729
343	1.287550596
344	1.287517637
345	1.286688856
346	1.286233365
347	1.284733154
348	1.284702663
349	1.284420055
350	1.284302171
351	1.284097053
352	1.283632262
353	1.282842756
354	1.282308676
355	1.275873974
356	1.271788916
357	1.27156028
358	1.27078198
359	1.270594166
360	1.270563674
361	1.26931851
362	1.269290409
363	1.268586003
364	1.26818859
365	1.2679717
366	1.26794608
367	1.2674992
368	1.266369412
369	1.265285656
370	1.264345626
371	1.263266621
372	1.262912183
373	1.262752945
374	1.262199595
375	1.262175483
376	1.261191224
377	1.260332925
378	1.260310715
379	1.259252713
380	1.257646901
381	1.256648762
382	1.256628189
383	1.25656571
384	1.256546428
385	1.256075831
386	1.255937822
387	1.255919722
388	1.255134671
389	1.255117944
390	1.253487655
391	1.252964802
392	1.252688508
393	1.25175758
394	1.251479686
395	1.251288543
396	1.250434763
397	1.250419256
398	1.249957025
399	1.249518017
400	1.248906286
401	1.248891845
402	1.248631689
403	1.248618304
404	1.248071528
405	1.247428646
406	1.247368315
407	1.247219399
408	1.246967544
409	1.246961015
410	1.246484077
411	1.245140756
412	1.244873591
413	1.2448674
414	1.241493685
415	1.241249524
416	1.241085583
417	1.240439962
418	1.239271826
419	1.238743106
420	1.238272116
421	1.237792342
422	1.237305164
423	1.237279544
424	1.237160649
425	1.236978406
426	1.236861485
427	1.236641929
428	1.236564763
429	1.235639978
430	1.234927975
431	1.234157595
432	1.232330262
433	1.230425717
434	1.230402002
435	1.229950948
436	1.229864707
437	1.22905773
438	1.228331798
439	1.227806308
440	1.226153607
441	1.226070487
442	1.225586765
443	1.225102251
444	1.22467157
445	1.224331929
446	1.223182124
447	1.22310258
448	1.222861658
449	1.222391042
450	1.221980298
451	1.221601968
452	1.221221051
453	1.221101895
454	1.220849113
455	1.220826403
456	1.220348223
457	1.219910246
458	1.219762821
459	1.219297588
460	1.218473134
461	1.215764419
462	1.215650193
463	1.215358679
464	1.214728399
465	1.214377652
466	1.213624663
467	1.211166117
468	1.211036808
469	1.210919031
470	1.210623649
471	1.21024372
472	1.208401346
473	1.208293853
474	1.207978264
475	1.207880532
476	1.207348915
477	1.206109375
478	1.206101515
479	1.205470707
480	1.204342527
481	1.203552573
482	1.203282234
483	1.202962253
484	1.202412286
485	1.202003094
486	1.201617155
487	1.201094009
488	1.20098733
489	1.198516975
490	1.197900451
491	1.197598447
492	1.197180987
493	1.196741288
494	1.196136117
495	1.195957901
496	1.194927055
497	1.193987502
498	1.193706932
499	1.193440978
500	1.193337231
501	1.192932945
502	1.192862198
503	1.192796451
504	1.192735284
505	1.190943392
506	1.190886103
507	1.190634931
508	1.190268181
509	1.190244266
510	1.18978658
511	1.189733071
512	1.189491986
513	1.189262568
514	1.189240033
515	1.188923704
516	1.188684638
517	1.18866383
518	1.188398335
519	1.188179402
520	1.187729456
521	1.187334007
522	1.185745111
523	1.184292273
524	1.184199298
525	1.184150323
526	1.184104569
527	1.18404008
528	1.183634082
529	1.18350982
530	1.181845679
531	1.181457184
532	1.181234195
533	1.179352366
534	1.17896728
535	1.178374373
536	1.178168497
537	1.178085242
538	1.177189584
539	1.176994267
540	1.176808587
541	1.176787993
542	1.17628341
543	1.175647825
544	1.174092001
545	1.174072252
546	1.173267334
547	1.173089485
548	1.172681421
549	1.172512004
550	1.172493048
551	1.172067254
552	1.171572017
553	1.171413097
554	1.171331506
555	1.17125377
556	1.171063579
557	1.171022887
558	1.170657202
559	1.170444486
560	1.170293474
561	1.170287036
562	1.170119517
563	1.169727796
564	1.169584153
565	1.169457918
566	1.168264725
567	1.168014649
568	1.16773322
569	1.167221737
570	1.166756337
571	1.166338978
572	1.165613252
573	1.165499198
574	1.165310925
575	1.165173178
576	1.165041902
