Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
N64,99,9.1,1998.0,Adventure,Nintendo  ,Nintendo EAD  ,9.9,10.0,4.1,1.89,1.45,0.16,7.6
PS,98,7.4,2000.0,Sports,Activision  ,Neversoft Entertainment  ,9.3,,3.05,1.41,0.02,0.2,4.68
PS3,98,7.7,2008.0,Action,Rockstar Games  ,Rockstar North  ,10.0,9.0,4.79,3.73,0.44,1.62,10.57
DC,98,8.4,1999.0,Fighting,Namco  ,Namco  ,9.6,,,,0.34,0.0,0.34
X360,98,7.9,2008.0,Action,Rockstar Games  ,Rockstar North  ,10.0,,6.8,3.11,0.14,1.04,11.09
Wii,97,9.1,2007.0,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.6,6.06,3.38,1.2,0.76,11.4
Wii,97,9.1,2010.0,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.8,3.59,2.37,0.98,0.62,7.57
XOne,97,8.0,2018.0,Action-Adventure,Rockstar Games  ,Rockstar Games  ,,,3.76,1.47,,0.54,5.77
XOne,97,7.9,2014.0,Action,Rockstar Games  ,Rockstar North  ,9.0,9.0,4.7,3.25,0.01,0.76,8.72
PS3,97,8.3,2013.0,Action,Rockstar Games  ,Rockstar North  ,9.4,,6.37,9.85,0.99,3.12,20.32
X360,97,8.3,2013.0,Action,Rockstar Games  ,Rockstar North  ,,,9.06,5.33,0.06,1.42,15.86
DC,97,6.2,2000.0,Sports,Activision  ,Treyarch  ,9.7,,,,,,
NS,97,8.7,2017.0,Action-Adventure,Nintendo  ,Nintendo EPD  ,9.9,10.0,4.54,2.94,1.26,0.73,9.46
PS2,97,7.5,2001.0,Sports,Activision  ,Neversoft Entertainment  ,9.1,,2.66,1.29,0.01,0.46,4.41
N64,97,8.8,2000.0,Shooter,Rare  ,Rare Ltd.  ,9.7,,1.55,0.75,0.16,0.06,2.52
PS4,97,8.5,2018.0,Action-Adventure,Rockstar Games  ,Rockstar Games  ,9.8,,5.26,6.21,0.21,2.26,13.94
PS4,97,8.4,2014.0,Action,Rockstar Games  ,Rockstar North  ,9.7,,6.06,9.71,0.6,3.02,19.39
PS2,97,8.4,2001.0,Action,Rockstar Games  ,DMA Design  ,9.5,,6.99,4.51,0.3,1.3,13.1
NS,97,8.9,2017.0,Platform,Nintendo  ,Nintendo EPD  ,9.9,,5.1,3.75,2.02,0.84,11.71
XB,97,8.7,2001.0,Shooter,Microsoft  ,Bungie Studios  ,9.5,,4.98,1.3,0.08,0.07,6.43
DC,97,6.2,2000.0,Sports,Sega  ,Visual Concepts  ,9.6,,1.02,0.05,,0.02,1.09
PC,96,9.2,2004.0,Shooter,VU Games  ,Valve Software  ,9.7,,2.28,0.02,0.08,,2.37
PC,96,7.8,2015.0,Action,Rockstar Games  ,Rockstar North  ,,,0.48,0.76,,0.1,1.33
WiiU,96,8.3,2017.0,Action-Adventure,Nintendo  ,Nintendo EPD  ,10.0,10.0,0.66,0.42,0.15,0.11,1.34
X360,96,9.0,2007.0,Shooter,2K Games  ,2K Australia / 2K Boston  ,9.6,9.5,1.65,0.85,0.05,0.28,2.83
N64,96,9.0,1997.0,Shooter,Nintendo  ,Rare Ltd.  ,9.8,,5.8,2.01,0.13,0.15,8.09
PS3,96,8.8,2009.0,Action,Sony Computer Entertainment  ,Naughty Dog  ,9.5,9.6,3.28,2.22,0.21,1.02,6.74
X360,96,9.0,2007.0,Shooter,Electronic Arts  ,Valve Software  ,9.7,,1.09,0.53,0.02,0.17,1.82
PC,96,9.3,2007.0,Shooter,Electronic Arts  ,Valve Software  ,9.7,,,0.11,,0.02,0.14
PS3,96,8.8,2011.0,Action,Warner Bros. Interactive  ,Rocksteady Studios  ,9.6,,2.72,1.89,0.11,0.82,5.54
PS,96,9.1,1998.0,Fighting,Namco  ,Namco  ,9.6,,3.27,2.22,1.4,0.29,7.16
X360,96,8.9,2010.0,Role-Playing,Electronic Arts  ,BioWare Edmonton  ,9.5,8.9,1.99,0.81,0.03,0.27,3.1
X360,96,8.6,2011.0,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.3,,5.1,2.83,0.1,0.85,8.88
PC,96,9.1,1998.0,Shooter,Sierra Entertainment  ,Valve Software  ,9.5,,4.03,0.0,0.09,,4.12
PS2,96,9.0,2005.0,Action,Capcom  ,Capcom Production Studio 4  ,9.6,9.3,2.08,0.83,0.46,0.25,3.62
PS,96,8.6,1998.0,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.5,,4.02,3.87,2.54,0.52,10.95
PC,96,8.6,2007.0,Shooter,2K Games  ,2K Australia / 2K Boston  ,9.6,,0.01,0.39,,0.01,0.41
PS2,96,8.8,2001.0,Action,Konami  ,Konami Computer Entertainment Japan  ,9.5,7.0,2.45,2.01,0.87,0.72,6.05
PC,95,9.1,2000.0,Role-Playing,Interplay  ,BioWare  ,9.5,,,,,,
PS2,95,9.1,2004.0,Action,Rockstar Games  ,Rockstar North  ,9.5,,9.43,0.4,0.41,10.57,20.81
PS2,95,8.8,2002.0,Action,Rockstar Games  ,Rockstar North  ,9.6,,8.41,5.49,0.47,1.78,16.15
PS3,95,6.8,2008.0,Platform,Sony Computer Entertainment  ,Media Molecule  ,9.4,9.2,2.8,2.01,0.17,0.87,5.85
PS3,95,8.9,2011.0,Action,Rockstar Games  ,Rockstar San Diego  ,9.5,,2.82,2.58,0.17,1.0,6.57
PS2,95,8.4,2001.0,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.3,,6.85,5.09,1.87,1.16,14.98
XB,95,8.7,2004.0,Shooter,Microsoft Game Studios  ,Bungie Studios  ,9.6,,6.82,1.53,0.05,0.08,8.49
GBA,95,9.0,2002.0,Adventure,Nintendo  ,"Flagship Co., Ltd. / Nintendo EAD  ",9.6,,1.75,0.52,0.33,0.1,2.7
N64,95,9.1,2000.0,Adventure,Nintendo  ,Nintendo EAD  ,9.3,,1.9,0.67,0.73,0.06,3.36
PS3,95,9.2,2013.0,Action-Adventure,Sony Computer Entertainment America  ,Naughty Dog  ,9.5,,2.41,2.57,0.29,0.99,6.27
Wii,95,9.0,2006.0,Adventure,Nintendo  ,Nintendo EAD  ,9.5,9.6,3.74,2.16,0.6,0.69,7.18
PS2,95,7.6,2002.0,Sports,EA Sports  ,EA Tiburon  ,9.4,,3.36,0.21,0.01,0.56,4.14
GBA,95,6.9,2001.0,Sports,Activision  ,Vicarious Visions  ,8.9,,0.85,0.31,,0.02,1.18
PS4,95,8.4,2020.0,Role-Playing,Atlus  ,Atlus  ,,,,,,,
PS4,95,9.2,2014.0,Action-Adventure,Sony Computer Entertainment  ,Naughty Dog  ,9.5,,2.7,2.86,0.11,1.1,6.77
NS,95,8.5,,Puzzle,Unknown  ,"Tetris Online, Inc  ",,,,,,,
PC,95,9.1,2011.0,Shooter,Valve  ,Valve Software  ,9.7,,0.33,0.33,,0.1,0.75
X360,95,9.0,2010.0,Action,Rockstar Games  ,Rockstar San Diego  ,9.5,10.0,3.77,2.03,0.09,0.6,6.5
X360,95,8.8,2011.0,Shooter,Valve  ,Valve Software  ,9.6,,1.41,0.49,0.01,0.17,2.08
XOne,95,7.5,2015.0,Action,Konami Digital Entertainment  ,Kojima Productions  ,,,0.49,0.25,0.02,0.07,0.83
PS3,95,8.7,2011.0,Shooter,Valve  ,Valve Software  ,9.6,,0.83,0.62,0.02,0.24,1.71
PC,94,8.4,2011.0,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.2,,1.18,2.25,,0.56,3.99
PS3,94,8.5,2013.0,Shooter,2K Games  ,Irrational Games  ,9.5,,0.74,0.74,0.04,0.3,1.82
PS,94,9.0,2000.0,Role-Playing,Square  ,SquareSoft  ,9.2,,1.62,0.77,2.78,0.14,5.3
PS3,94,6.6,2009.0,Shooter,Activision  ,Infinity Ward  ,9.5,,4.99,3.66,0.38,1.59,10.61
PS2,94,8.4,2002.0,Sports,Activision  ,Neversoft Entertainment  ,9.6,,2.13,1.18,0.01,0.35,3.67
PS2,94,8.6,2001.0,Action,Capcom  ,Capcom  ,9.1,9.3,1.36,0.86,0.64,0.13,2.99
PS3,94,8.4,2007.0,Shooter,Activision  ,Infinity Ward  ,9.5,9.6,3.13,2.27,0.28,1.04,6.72
PS2,94,7.3,2001.0,Sports,EA Sports  ,EA Sports  ,,,2.5,0.16,0.01,0.42,3.08
X360,94,8.8,2011.0,Action,Warner Bros. Interactive  ,Rocksteady Studios  ,9.5,,2.99,1.28,0.04,0.44,4.75
