,Platform,meta_score,meta_UserReview,Year,Publisher,Developer,vg_critic_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales,Action,Action-Adventure,Adventure,Board Game,Education,Fighting,MMO,Misc,Music,Party,Platform,Puzzle,Racing,Role-Playing,Sandbox,Shooter,Simulation,Sports,Strategy,Visual Novel
0,N64,99.0,9.1,1998,Nintendo  ,Nintendo EAD  ,9.9,4.1,1.89,1.45,0.16,7.6,15.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PS,98.0,7.4,2000,Activision  ,Neversoft Entertainment  ,9.3,3.05,1.41,0.02,0.2,4.68,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,PS3,98.0,7.7,2008,Rockstar Games  ,Rockstar North  ,10.0,4.79,3.73,0.44,1.62,10.57,21.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,DC,98.0,8.4,1999,Namco  ,Namco  ,9.6,0.0,0.0,0.34,0.0,0.34,0.68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,X360,98.0,7.9,2008,Rockstar Games  ,Rockstar North  ,10.0,6.8,3.11,0.14,1.04,11.09,22.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Wii,97.0,9.1,2007,Nintendo  ,Nintendo EAD Tokyo  ,9.7,6.06,3.38,1.2,0.76,11.4,22.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Wii,97.0,9.1,2010,Nintendo  ,Nintendo EAD Tokyo  ,9.7,3.59,2.37,0.98,0.62,7.57,15.13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,XOne,97.0,8.0,2018,Rockstar Games  ,Rockstar Games  ,,3.76,1.47,0.0,0.54,5.77,11.54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,XOne,97.0,7.9,2014,Rockstar Games  ,Rockstar North  ,9.0,4.7,3.25,0.01,0.76,8.72,17.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,PS3,97.0,8.3,2013,Rockstar Games  ,Rockstar North  ,9.4,6.37,9.85,0.99,3.12,20.32,40.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,X360,97.0,8.3,2013,Rockstar Games  ,Rockstar North  ,,9.06,5.33,0.06,1.42,15.86,31.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,DC,97.0,6.2,2000,Activision  ,Treyarch  ,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,NS,97.0,8.7,2017,Nintendo  ,Nintendo EPD  ,9.9,4.54,2.94,1.26,0.73,9.46,18.93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,PS2,97.0,7.5,2001,Activision  ,Neversoft Entertainment  ,9.1,2.66,1.29,0.01,0.46,4.41,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,N64,97.0,8.8,2000,Rare  ,Rare Ltd.  ,9.7,1.55,0.75,0.16,0.06,2.52,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,PS4,97.0,8.5,2018,Rockstar Games  ,Rockstar Games  ,9.8,5.26,6.21,0.21,2.26,13.94,27.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
