Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
50001,The Marvelous Misadventures of Flapjack: The Video Game,DS,N/A,Adventure,Unknown  ,1st Playable Productions  ,,,,,,,
50002,The Mask,SNES,1995,Platform,Black Pearl  ,Black Pearl  ,,,,,,,
50003,The Masked Rider: Kamen Rider ZO,SCD,1994,Action,Sega  ,Toei Animation  ,,,,,,,
50004,The Matrix Online,PC,2005,Role-Playing,Warner Bros. Interactive  ,Monolith Productions  ,6.9,,,,,,
50005,The Maw,XBL,2009,Action,Twisted Pixel Games  ,Twisted Pixel Games  ,7.6,,,,,,
50006,The Maw,PC,2009,Action,Twisted Pixel Games  ,Twisted Pixel Games  ,8.0,,,,,,
50007,The Maw: Brute Force,XBL,2009,Action,Twisted Pixel Games  ,Twisted Pixel Games  ,,,,,,,
50008,The Maw: Brute Force,PC,2009,Action,Twisted Pixel Games  ,Twisted Pixel Games  ,,,,,,,
50009,The Maw: River Redirect,XBL,2009,Action,Twisted Pixel Games  ,Twisted Pixel Games  ,,,,,,,
50010,The Maw: River Redirect,PC,2009,Action,Twisted Pixel Games  ,Twisted Pixel Games  ,,,,,,,
50011,The Maw: Speeder Lane,XBL,2009,Action,Twisted Pixel Games  ,Twisted Pixel Games  ,,,,,,,
50012,The Maw: Speeder Lane,PC,2009,Action,Twisted Pixel Games  ,Twisted Pixel Games  ,,,,,,,
50013,The Mechsmith: Run-Dim,PS2,2000,Role-Playing,Idea Factory  ,Digital Dream Studios  ,,,,,,,
50014,The Merchant of Menace: The Lost Episode,PC,2014,Misc,BBC Multimedia  ,Unknown  ,,,,,,,
50015,The Merchant of Menace: The Lost Episode,And,2014,Misc,BBC Multimedia  ,Unknown  ,,,,,,,
50016,The Miracle Piano Teaching System,NES,1990,Misc,Mindscape  ,The Software Toolworks  ,,,,,,,
50017,The Miracle Piano Teaching System,GEN,1992,Misc,Software Toolworks  ,The Software Toolworks  ,,,,,,,
50018,The Miracle Piano Teaching System,SNES,1991,Misc,Software Toolworks  ,The Software Toolworks  ,,,,,,,
50019,The Misadventures of P.B. Winterbottom,XBL,2010,Puzzle,2K Play  ,The Odd Gentlemen  ,8.4,,,,,,
50020,The Misshitsukara no Dasshutsu: Gakkou no Kyuukousha Hen,3DS,2011,Adventure,D3 Publisher  ,D3  ,,,,,,,
50021,The Moment of Silence,PC,2005,Adventure,The Adventure Company  ,House of Tales  ,,,,,,,
50022,The Monopoly Game 2,SNES,1995,Misc,Tomy Corporation  ,Tomcat System  ,,,,,,,
50023,The Most Addicting Sheep Game,XBL,2011,Platform,Microsoft  ,BombdiggidyBullfrog  ,,,,,,,
50024,The Movies: Stunts & Effects,PC,2006,Simulation,Activision  ,Lionhead Studios  ,7.9,,,,,,
50025,The Mummy Returns,GB,2001,Action,Universal Interactive  ,Game Brains  ,,,,,,,
50026,The Munchables,DS,N/A,Action,Unknown  ,Namco Bandai Games  ,,,,,,,
50027,The Music Game,PC,2014,Misc,Broken Rules  ,Unknown  ,,,,,,,
50028,The Music Game,OSX,2014,Misc,Broken Rules  ,Unknown  ,,,,,,,
50029,The Music Machine,2600,1983,Action,Unknown  ,Sparrow  ,,,,,,,
50030,The Mysteries Through Time Collection,PC,2011,Misc,Mastertronic  ,Various  ,,,,,,,
50031,The Mysterious Case of Dr. Jekyll and Mr. Hyde,PC,2010,Adventure,O-Games  ,O-Games  ,,,,,,,
50032,The Mysterious Cities of Gold: Secret Paths,PC,2013,Misc,Unknown  ,Unknown  ,,,,,,,
50033,The Mysterious Cities of Gold: Secret Paths,3DS,2014,Misc,Unknown  ,Unknown  ,,,,,,,
50034,The Mysterious Cities of Gold: Secret Paths,WiiU,2013,Misc,Unknown  ,Unknown  ,,,,,,,
50035,The Mysterious Murasame Castle,3DS,2014,Action,Nintendo  ,Nintendo EAD  ,,,,,,,
50036,The Mystery of the Crystal Portal,PSN,2010,Adventure,G5 Entertainment AB  ,G5 Software  ,,,,,,,
50037,The Mystery of the Crystal Portal 2,PC,2010,Adventure,Mastertronic  ,Mastertronic  ,,,,,,,
50038,The Mystery of the Mummy,PC,2002,Adventure,DreamCatcher Interactive  ,Frogwares  ,,,,,,,
50039,The Mystery of Whiterock Castle,WW,2011,Adventure,RTL  ,Keen Games  ,7.0,,,,,,
50040,The Mystic Orb,XBL,2009,Misc,Microsoft  ,Unknown  ,,,,,,,
50041,The Naked Brothers Band: The Video Game,PC,2008,Misc,THQ  ,Barking Lizards Technologies  ,,,,,,,
50042,The Nations,PC,2001,Strategy,JoWood Productions  ,JoWood Productions  ,,,,,,,
50043,The Nations: Gold Edition,PC,2002,Strategy,JoWood Productions  ,JoWood Productions  ,,,,,,,
